Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Female Teachers Required,Paradise kids foundation school,Faisalabad,https://pk.indeed.com/company/Paradise-kids-foundation-school/jobs/Female-Teacher-14376f40bb563b56?fccid=a43456945f1dd077&vjs=3,"Rs 30,000 - Rs 40,000 a month",Part-time,Posted 30+ days ago,Application response rate: 89%,"Job description
Female teaching staff required for all classes/grades and subjects. Primary, middle, metric, O/A levels, fine arts, science subjects, commerce and computer classes need to teach.
Responsibilities
To make lesson plans to complete the course within time
To maintains order and discipline
To collaborate with other teachers and parents in regular meetings
To assess and record students’ progress
To provide best environment to students in classroom
Students outdoor activities.
Skills
Teaching skills
Class management
Good communication skills.
Punctual
Facilities pick and drop as per school policy.
Job Types: Full-time, Part-timePart-time hours: 30 per week
Salary: Rs30,000.00 - Rs40,000.00 per month"
Software Quality Assurance,Brilliant Gamez,Faisalabad,https://pk.indeed.com/company/Gamerz-Studio/jobs/Software-Quality-Assurance-5a3fa3e4997cb1c8?fccid=d119051fa0e17849&vjs=3,,Full-time,Posted 3 days ago,Hiring 4 candidates for this role,"Brilliant Gamez is a team of professional developers and designers. Passion and commitment has led us to create over 100+ games for Apple Store, Google Play and Amazon App store with 10+ million worldwide users and increasing. Our aim is to make next- gen top performing mobile games for which our ambitious and highly skilled team is always working on exciting new technologies.
We are currently looking for a Software Quality Assurance to join our team.
What are we looking for:

Executing test plans, reporting software bugs, and verifying software bug fixes from development.
Basic experience in Manual Testing, Automated Testing, API Testing, and Performance Testing
Test Planning, Test Reporting and Defect Reporting experience
Basic experience of testing in mobile games in a high-availability, high performance, large scale environment
Usability and accessibility testing experience
Experience with automated regression testing will be a plus
Good communication skills and the ability to work collaboratively in a cross-functional team
Ability to continuously identify areas of improvement for yourself and your team
Qualifications: BS in Computer Science or similar degree
Experience of 6 months to 1 year working experience

Benefits we are offering:

Provident Fund
Annual Bonus
Eid Festival Bonus
Mobile, Fuel, Car & Bike Allowance (Duration Based)
18 Annual Leaves
6 Leaves on completion of 1st year (Encashment optional)
Performance Rewards
Annual Increments
Annual Recreational Tour
Annual Sports Day
Dinner Allowance

Job Type: Full-time
Ability to commute/relocate:

Faisalabad: Reliably commute or planning to relocate before starting work (Required)
"
Associate Software Engineer,TECHBOLIC SOLUTIONS (PRIVATE) LIMITED,Faisalabad,https://pk.indeed.com/company/TechBolic-Solutions/jobs/Associate-Software-Engineer-770f5f285c8f98b7?fccid=59509108d5943e17&vjs=3,"Rs 30,000 a month",Fresher,Posted 30+ days ago,Hiring 2 candidates for this role,"TECHBOLIC SOLUTIONS (PRIVATE) LIMITED is currently looking for highly motivated fresh graduates as Associate Software Engineers.
Requirements:

Bachelor's degree in Computer Science, Software Engineering, or equivalent.
Excellent verbal communication skills.
Excellent analytical and problem-solving skills.
Solid understanding of object-oriented programming.
Team player and good interpersonal skills.
Positive attitude and eagerness to learn.

Benefits:

Competitive salary.
Fun and dynamic working environment.
Monetary Growth.
Professional training and development.
Performance rewards.
Paid annual leaves.
Launch.

Job Types: Full-time, Fresher
Salary: From Rs30,000.00 per month
Application Question(s):

Are you a permanent resident of Faisalabad?
Kindly list down all the technologies and tools you are proficient at (Related to programming and UI/UX designing).
What are your goals for professional development? How will getting this job help you advance toward your professional development goals?
What type of work environment do you prefer?
Why do you want to work here?
Salary expectations?
When can you start if you’re hired?
"
Ruby And Rails Developer,the sots,Faisalabad,https://pk.indeed.com/company/the-sots/jobs/Ruby-Rail-Developer-c13e4299a0558c44?fccid=ef3463f8133b3012&vjs=3,"Rs 100,000 a month",Full-time,Posted today,Hiring 1 candidate for this role,"
Develop robust٫ scalable and secure features
Write clean٫ maintainable and efficient code
Participate at all stages of the development lifecycle
Implement best practices of test-driven development٫ continuous integration٫ SCRUM٫ refactoring and code standards٫ and so on
Stay informed about relevant new technologies and drive their continuous adoption and integration into design
2+ years' experience of working on a Ruby on Rails Developer position
Profound experience with front-end technologies such as JavaScript٫ HTML٫ CSS and JQuery
Good experience of developing highly interactive applications
Good experience with relational and NoSQL databases
Excellent knowledge of object oriented analysis and design
Strong ability of writing great٫ simple٫ clean٫ efficient code
BS or MS degree in Computer Science٫ Engineering or other related area

Job Type: Full-time
Salary: From Rs100,000.00 per month
Ability to commute/relocate:

Faisalabad: Reliably commute or planning to relocate before starting work (Required)
"
Front End Developer,Farnek Services (Private) Limited,Faisalabad,https://pk.indeed.com/company/Farnek-Services-(Private)-Limited/jobs/Front-End-Developer-58c0daf9ba7e6694?fccid=60b05265d3094beb&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 76%,"Job Description

Must have 5 years of experience As a Front End Developer.
Must have knowledge and experience in Laravel.
Expert in HTML, CSS, Booststrap, JAVAscript,Wordpress.
Bachelor’s degree in computer programming, computer science, or a related field.
Excellent knowledge of browser troubleshooting and debugging practices and techniques
Knowledge of some SEO principles.
Use a variety of programming languages in order to create user-friendly web pages
Maintain and improve company website
Work in multidisciplinary team with other professionals such as back-end developers and web designers
Build high-quality mockups and design different prototypes
Provide high-quality graphics and visual elements
Optimize our web applications for maximum speed
Design mobile-based features
Always stay consistent with our brand guidelines
Get feedback from users and customers
Make suggestions for better solutions to problems

Job Type: Full-time
Ability to commute/relocate:

Faisalabad: Reliably commute or planning to relocate before starting work (Required)

Education:

Master's (Required)

Language:

Fluency in English (Required)
"
Manager Security & Admin Services,Ingredion,Faisalabad,https://pk.indeed.com/rc/clk?jk=60be985224262d2f&fccid=551fa28f29848303&vjs=3,,Full-time,Posted 30+ days ago,,"

  Job Title: Manager Security & Admin Services
 

   Location: Faisalabad, Pakistan
 


   Rafhan Maize Products Co. Ltd. (Ingredion Incorporated) is hiring Manager Security & Admin Services, who will be responsible to ensure security and administration of the facility and assets to provide a secure environment to employees at Rakh Canal Plant – RCP, Faisalabad, Cornwala Plant – CWP, Jaranwala and external warehouses. Responsibilities of this role also include maintaining good working relationship with internal and external stakeholders to safeguard interest of the organization.
 



    We are an equal opportunity employer. Females are encouraged to apply
  



 As Manager Security & Admin Services, you will be responsible to:
 

 Evaluate, implement and review company-wide security and risk management program.
 Collaborate with internal and external stakeholders to pre-empt security risks and take appropriate measures to effectively mitigate these risks.
 Oversee management of security tools & equipment such as alarm systems, video surveillance systems (CCTV) etc. to optimize effectiveness.
 Maintain close coordination with security company for seamless services for people and properties.
 Implement external relation policies and procedures in line with company’s guidelines.
 Maintain working relationship with all relevant stakeholders such as law enforcement agencies, local administration and government offices.
 Streamline administrative tasks and effectively review & simplify complex business processes.
 Lead various administrative functions such as office administration, transport, reception, telephone exchange, gate office, weighbridge, postal mail, horticulture, fair price shop, canteen etc.



   This position is well-suited for you if you have:
 

 Good working knowledge of current industry & market trends relating to security, administration and external relations.
 Self-starter with results driven approach to set, prioritize, and enable goal attainment.
 Ability to reduce complexity and simplify business processes.
 Excellent interpersonal, communication and negotiation skills, with an ability to effectively mobilize internal resources and team members.
 Ability to interact across multiple functions within the organization.



   You are eligible to apply if you have:
 

 5-7 years’ post armed forces experience within manufacturing Industry (Lieutenant Colonel (R) preferred).
 Civilians having requisite qualification and 8-10 years’ experience within manufacturing industry may also apply.
 A Bachelor’s degree in Law/ Business Administration/ Public Administration/ Social Sciences etc.
 Proficient in Microsoft Office (Outlook, Word, Excel, and PowerPoint)



   About Us
 

 Rafhan Maize is an affiliate of Ingredion Incorporated, USA which has strong global presence with commercial and manufacturing operations in more than 60 countries of the world. Our strategy is a unique blend of volume growth and operational excellence. We are pursuing tri dimensional strategy to grow organically, geographically and by broadening ingredients portfolio.
 


   If you are inspired by professional challenges and the rewards that come from a high level of performance, then Ingredion (Rafhan Maize) is the company for you. At Ingredion (Rafhan Maize) you can be a member of a globally connected team inspired to achieve great things.
 


   We believe in the power of our people to work together to seize opportunities, overcome obstacles and exceed expectations. Each day, individuals make a meaningful difference in the quality of our products and the success of our technology and operations and, in turn, the quality of life for consumers.
 


   Relocation Available:
  Yes, Within Country
"
Backend Developer,HexaMile Soft,Faisalabad,https://pk.indeed.com/company/HexaMile-Soft/jobs/Backend-Developer-569aa758190f7128?fccid=eb99b80698930f1b&vjs=3,"Rs 50,000 - Rs 70,000 a month",Full-time,Posted 26 days ago,Hiring 1 candidate for this role,"Job Timing: 1:00 pm to 9:00 pmLocation : People's Colony 2 FaisalabadQualifications Bachelor's Computer sciences (Required)Proficient with Git (GitHub or BitBucket)
We are looking for an experienced Full Stack Laravel and PHP Developer who can develop our web applications.The candidate must be self-motivated with responsibility and passion for software development.
Responsibilities:

Plan, code, test, and deploy new features/applications/projects/modules
Optimize and refactor existing code to improve performance and reliability
Minor and major application feature development
Troubleshoot application bugs and implement solutions
Compile, processes, and execute data and codes to troubleshoot problems

Skills & Requirements:

4+ years of LAMP Development
Knowledge of Laravel,CodeIgniter, PHP & MySQL
Knowledge of HTML5, CSS, JavaScript
Backend development experience
Strong grip on Laravel or CodeIgniter
Knowledge of Git & Unix environment
Great attention to detail and highly organized
A positive and upbeat attitude
Experience with implementing Auth System.
Experience collaborating with back-end engineers to design APIs
Agile software development experience
Proficient with Git (GitHub or BitBucket)
Strong attention to detail and love for architecture, UX, and code.

Employee Benefits:
Eid BonusPerformance-Based IncrementsYearly IncrementsAdvance Salary for EmergencyNeed Base Loans24 Annual LeavesDedicated TrainingBirthday celebrationOffice Gatherings, Celebrations, and Trips5 days a week (work-life balance)
Job Type: Full-time
Salary: Rs50,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Faisalabad: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

We are based in People's Colony 2 Faisalabad. Are you in Faisalabad?
Do you have minimum Bachelor's in Computer sciences ?
Do you know have any experience in bitbucket?
Our Job Timing is 1:00 pm to 9:00 pm if you cannot mange time please donot apply
Can you manage team ?
"
Data Engineer (Remote),MonetizeMore,Faisalabad,https://pk.indeed.com/rc/clk?jk=ce6bf7220b07b00b&fccid=0f5f02cc143354d0&vjs=3,,Full-time,Posted 5 days ago,,"
MonetizeMore builds industry-leading ad technology that is seen by more than 300M+ people per month. The company has been running for 12 years achieving consistent double-digit growth each year with a team of 250+ team members spread across the globe.
 MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire, and the arbitrary 9 to 5 work-day. Take your life back into your hands by joining the MonetizeMore team!

 What you’ll do:

 Building and maintaining data pipelines using Kubernetes, Airflow and AWS Stack
 Proficient in writing complex and nested SQL queries. Experience with AWS Athena is a plus.
 Use Python Pandas, Apache Spark, AWS OpenSearch for data processing.
 Integration of services to maximize ad revenues and maintain strong user experience.
 Planning and prototyping new applications.
 Defect resolution of existing and new issues.
 Unit testing new features to ensure they conform to MonetizeMore’s quality standards and meet requirements.
 Code reviews.
 Running performance benchmarking tests.
 Staying up to date with new trends and advancements in web development and ad tech.
 Attending daily stand-up meetings (30 mins) and other Scrum meetings (Every 2 weeks)


 Who you are:

 BS/MS in Computer Science | Computer Engineering or equivalent experience
 3+ years in data engineering.
 Proven experience in building and maintaining data pipelines using Kubernetes, Airflow and AWS Stack.
 Extensive knowledge in different data processing and storage technologies.
 Proficient in writing complex and nested SQL queries. Experience with AWS Athena is a plus.
 Analyze data using Python Pandas, Apache Spark, ElasticSearch Kibana.
 Knowledge in Data Governance is a plus.
 GIT experience
 English language fluency
 Good communication skills, self motivated


 What we offer:

 Competitive Salary: Our salary formula adjusts to your cost of living and experience.
 Work remotely: Live and work wherever you like!
 Flexible working hours: You have the autonomy to set your own schedule
 Retreats: We meet in person for company get-togethers.
 Career Growth and Trainings


 If you think you are a good fit. Please apply on this side bar and give specific reasons what sets you apart. We hire individuals, not robots so don’t be afraid to show a little personality.
 We make hiring decisions based on your experience, skills and passion. Please note that interviews are conducted virtually.
 
 
KAN0VzixJ6
"
Associate Manager - Poultry Farm Operations,IFFCO,Faisalabad,https://pk.indeed.com/rc/clk?jk=c30ce9911c0db317&fccid=8277db9ca049b0db&vjs=3,,N/A,Posted 8 days ago,,"








Job Summary


        Ensure the rearing of the required quality and quantity of Birds with the optimum farm capacity.
       



 Roles & Responsibilities



Plan and implement Flock health planning & production.
Ensure Feed utilsation is optimized as per the size of the flock.
Inspect, survey and record the performance of structure, machines and equipment in each shed to ensure healthy flock rearing conditions.
Provide technical support & advise to the farm supervisors for the purpose of improving and maintaining the quanlity of the flock production.
Inspect all farms to ensure the flock health
Plan & Schedule flock Harvesting time as per the planned production.
Ensure the houses are cleaned and fumigated as per the SOP & SSOP prior to filling of the DOC flock.
Plan & ensure availability of Medicnes Disinfectant, Vaccines and essential pest control is available in the Farms Prepare and analyze daily mortality to ascertain operation efficiency as per production planning.
Ensure Vaccine administration as per the schedule
Update master data in inventory system of Oracle and update daily production batches.
Ensure Biosecurity is implemented by all the farm staff & visitors effecting performance of the flock.





KPIs



Achieve targeted Mortality,
Achieve Targeted FCR
Achieve targeted Bird weight.
Ensure Safe operations





Work experience requirement


 6-9 yrs of experience in rearing Broiler production in a broiler farm.




 Qualification


 Doctor of Veterinary Medicine or B.S. Poultry sciences. Masters preferred




 Competencies



         Ownership & Result Orientation
        

          Farming Standards and Practices
        

          Production Planning and Operational Efficiencies
        

          Operational Efficiency Standards
        

          Farming Cycle & Placement
        

          Self and Team Management
        

          Planning & Decision Making
        

          Strategic Thinking
        

          Change Management
        











     Business Unit: Animal Nutritions (PKBU01) 
    







     Business Group: IFFCO Pakistan (Pvt) Ltd (PK01)
    




"
Wordpress web Developer,Farnek Services (Private) Limited,Faisalabad,https://pk.indeed.com/company/Farnek-Services-(Private)-Limited/jobs/Wordpress-Web-Developer-c66c2f4cd510ff31?fccid=60b05265d3094beb&vjs=3,"Rs 20,000 - Rs 40,000 a month",Full-time,Posted 29 days ago,Application response rate: 76%,"Job Description

Designing and building the website front-end.
Creating the website architecture.
Must Have 3 years of experience.
Designing and managing the website back-end including database and server integration.
Generating WordPress themes and plugins.
Conducting website performance tests.
Troubleshooting content issues.
Conducting WordPress training with the client.
Monitoring the performance of the live website.
Bachelor’s degree in computer science or a similar field.
Proven work experience as a WordPress developer.
Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.

Job Type: Full-time
Salary: Rs20,000.00 - Rs40,000.00 per month
Ability to commute/relocate:

Faisalabad: Reliably commute or planning to relocate before starting work (Required)

Education:

Master's (Required)

Language:

Fluency in English (Required)
"
